,sample_id,mouse_id,strain,genotype,treatment,age,sex,organ,suborgan,sampletype,microbiome,passage,batch,prep,filename
dt_5650,dt_5650,5650,129svev,ApcMin/IL10KO,None,7,M,COL,DCOL,tumor,consortium,NA,2021_12_07,PP,dt_5650_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
dt_6498,dt_6498,6498,129svev,ApcMin/IL10KO,None,6,M,COL,DCOL,tumor,consortium,NA,2021_12_07,PP,dt_6498_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_m1,dc_m1,1001,129svev,WT,None,4,M,COL,DCOL,normal,wt,NA,2022_06_01,PP,dc_f1_CKDL220012247-1a-AK985-AK987_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
lv_m1,lv_m1,1001,129svev,WT,None,4,M,LIV,LIV,normal,wt,NA,2022_06_01,PP,lv_f1_CKDL220012247-1a-GF10-AK692_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc_m1,pc_m1,1001,129svev,WT,None,4,M,COL,PCOL,normal,wt,NA,2022_06_01,PP,pc_f1_CKDL220012247-1a-GH03-AK494_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp_m1,sp_m1,1001,129svev,WT,None,4,M,SPL,SPL,normal,wt,NA,2022_06_01,PP,sp_f1_CKDL220012247-1a-AK847-AK869_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_m2,dc_m2,1002,129svev,WT,None,4,M,COL,DCOL,normal,wt,NA,2022_06_01,PP,dc_f2_CKDL220012247-1a-AK1847-7UDI301_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
lv_m2,lv_m2,1002,129svev,WT,None,4,M,LIV,LIV,normal,wt,NA,2022_06_01,PP,lv_f2_CKDL220012247-1a-AK1864-AK907_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc_m2,pc_m2,1002,129svev,WT,None,4,M,COL,PCOL,normal,wt,NA,2022_06_01,PP,pc_f2_CKDL220012247-1a-AK1871-AK897_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp_m2,sp_m2,1002,129svev,WT,None,4,M,SPL,SPL,normal,wt,NA,2022_06_01,PP,sp_f2_CKDL220012247-1a-AK1954-GE09_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_m3,dc_m3,1003,129svev,WT,None,4,M,COL,DCOL,normal,wt,NA,2022_06_01,PP,dc_m3_CKDL220012247-1a-AK2147-7UDI223_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
lv_m3,lv_m3,1003,129svev,WT,None,4,M,LIV,LIV,normal,wt,NA,2022_06_01,PP,lv_m3_CKDL220012247-1a-GD06-AK845_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc_m3,pc_m3,1003,129svev,WT,None,4,M,COL,PCOL,normal,wt,NA,2022_06_01,PP,pc_m3_CKDL220012247-1a-AK1852-AK1868_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp_m3,sp_m3,1003,129svev,WT,None,4,M,SPL,SPL,normal,wt,NA,2022_06_01,PP,sp_m3_CKDL220012247-1a-GA09-GE08_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_m4,dc_m4,1004,129svev,WT,None,4,M,COL,DCOL,normal,wt,NA,2022_06_01,PP,dc_m4_CKDL220012247-1a-7UDI274-AK234_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
lv_m4,lv_m4,1004,129svev,WT,None,4,M,LIV,LIV,normal,wt,NA,2022_06_01,PP,lv_m4_CKDL220012247-1a-GG04-AK705_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc_m4,pc_m4,1004,129svev,WT,None,4,M,COL,PCOL,normal,wt,NA,2022_06_01,PP,pc_m4_CKDL220012247-1a-AK1849-7UDI302_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp_m4,sp_m4,1004,129svev,WT,None,4,M,SPL,SPL,normal,wt,NA,2022_06_01,PP,sp_m4_CKDL220012247-1a-AK2149-AK1881_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_f1,dc_f1,2001,129svev,WT,None,4,F,COL,DCOL,normal,wt,NA,2022_06_01,PP,dc_m1_CKDL220012247-1a-AK2161-AK1846_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
lv_f1,lv_f1,2001,129svev,WT,None,4,F,LIV,LIV,normal,wt,NA,2022_06_01,PP,lv_m1_CKDL220012247-1a-AK900-7UDI293_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc_f1,pc_f1,2001,129svev,WT,None,4,F,COL,PCOL,normal,wt,NA,2022_06_01,PP,pc_m1_CKDL220012247-1a-GG03-7UDI222_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp_f1,sp_f1,2001,129svev,WT,None,4,F,SPL,SPL,normal,wt,NA,2022_06_01,PP,sp_m1_CKDL220012247-1a-7UDI300-7UDI206_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_f2,dc_f2,2002,129svev,WT,None,4,F,COL,DCOL,normal,wt,NA,2022_06_01,PP,dc_m2_CKDL220012247-1a-AK977-7UDI193_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
lv_f2,lv_f2,2002,129svev,WT,None,4,F,LIV,LIV,normal,wt,NA,2022_06_01,PP,lv_m2_CKDL220012247-1a-AK890-7UDI280_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc_f2,pc_f2,2002,129svev,WT,None,4,F,COL,PCOL,normal,wt,NA,2022_06_01,PP,pc_m2_CKDL220012247-1a-GH07-AK903_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp_f2,sp_f2,2002,129svev,WT,None,4,F,SPL,SPL,normal,wt,NA,2022_06_01,PP,sp_m2_CKDL220012247-1a-GE05-GA08_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm4691,dm4691,4691,129svev,ApcMin/IL10KO,None,8,F,COL,DCOL,normal,gf,NA,2022_06_01,PP,dm4691_CKDL220012247-1a-AK1872-AK898_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm4691,pm4691,4691,129svev,ApcMin/IL10KO,None,8,F,COL,PCOL,normal,gf,NA,2022_06_01,PP,pm4691_CKDL220012247-1a-AK2431-AK2045_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm5137,dm5137,5137,129svev,ApcMin/IL10KO,None,7,F,COL,DCOL,normal,consortium,NA,2022_06_01,PP,dm5137_CKDL220012247-1a-7UDI248-7UDI258_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm5137,pm5137,5137,129svev,ApcMin/IL10KO,None,7,F,COL,PCOL,normal,consortium,NA,2022_06_01,PP,pm5137_CKDL220012247-1a-AK1874-AK892_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm5140,dm5140,5140,129svev,ApcMin/IL10KO,None,7,F,COL,DCOL,normal,consortium,NA,2022_06_01,PP,dm5140_CKDL220012247-1a-AK1879-AK1875_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm5140,pm5140,5140,129svev,ApcMin/IL10KO,None,7,F,COL,PCOL,normal,consortium,NA,2022_06_01,PP,pm5140_CKDL220012247-1a-AK895-7UDI315_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm5335,dm5335,5335,129svev,ApcMin,DSS,4,M,COL,DCOL,normal,consortium,NA,2022_06_01,PP,dm5335_CKDL220012245-1a-7UDI258-7UDI248_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
dt5335,dt5335,5335,129svev,ApcMin,DSS,4,F,COL,DCOL,tumor,consortium,NA,2022_06_01,PP,dt5335_CKDL220012245-1a-AK890-7UDI280_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm5335,pm5335,5335,129svev,ApcMin,DSS,4,M,COL,PCOL,normal,consortium,NA,2022_06_01,PP,pm5335_CKDL220012245-1a-7UDI315-AK895_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm5463,dm5463,5463,129svev,ApcMin,DSS,5,F,COL,DCOL,normal,consortium_um149,NA,2022_06_01,PP,dm5463_CKDL220012245-1a-AK692-GF10_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm5463,pm5463,5463,129svev,ApcMin,DSS,5,F,COL,PCOL,normal,consortium_um149,NA,2022_06_01,PP,pm5463_CKDL220012245-1a-AK690-7UDI304_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm5465,dm5465,5465,129svev,ApcMin,DSS,4,M,COL,DCOL,normal,consortium_um149,NA,2022_06_01,PP,dm5465_CKDL220012245-1a-AK869-AK847_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
dt5465,dt5465,5465,129svev,ApcMin,DSS,4,M,COL,DCOL,tumor,consortium_um149,NA,2022_06_01,PP,dt5465_CKDL220012245-1a-AK889-7UDI229_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm5465,pm5465,5465,129svev,ApcMin,DSS,4,M,COL,PCOL,normal,consortium_um149,NA,2022_06_01,PP,pm5465_CKDL220012245-1a-AK1853-7UDI283_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm5468,dm5468,5468,129svev,ApcMin,DSS,4,M,COL,DCOL,normal,consortium_um149,NA,2022_06_01,PP,dm5468_CKDL220012245-1a-AK907-AK1864_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
dt5468,dt5468,5468,129svev,ApcMin,DSS,4,M,COL,DCOL,tumor,consortium_um149,NA,2022_06_01,PP,dt5468_CKDL220012245-1a-AK1863-GA03_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm5468,pm5468,5468,129svev,ApcMin,DSS,4,M,COL,PCOL,normal,consortium_um149,NA,2022_06_01,PP,pm5468_CKDL220012245-1a-7UDI228-7UDI200_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm5479,dm5479,5479,129svev,ApcMin,DSS,6,M,COL,DCOL,normal,consortium,NA,2022_06_01,PP,dm5479_CKDL220012245-1a-AK706-7UDI245_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm5479,pm5479,5479,129svev,ApcMin,DSS,6,M,COL,PCOL,normal,consortium,NA,2022_06_01,PP,pm5479_CKDL220012245-1a-AK900-7UDI293_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm5481,dm5481,5481,129svev,ApcMin,DSS,6,M,COL,DCOL,normal,consortium,NA,2022_06_01,PP,dm5481_CKDL220012245-1a-7UDI237-AK1867_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm5481,pm5481,5481,129svev,ApcMin,DSS,6,M,COL,PCOL,normal,consortium,NA,2022_06_01,PP,pm5481_CKDL220012245-1a-GB07-AK1880_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm5486,dm5486,5486,129svev,ApcMin,DSS,4,M,COL,DCOL,normal,consortium,NA,2022_06_01,PP,dm5486_CKDL220012245-1a-AK863-AK984_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
dt5486,dt5486,5486,129svev,ApcMin,DSS,4,M,COL,DCOL,tumor,consortium,NA,2022_06_01,PP,dt5486_CKDL220012245-1a-GD06-AK845_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm5486,pm5486,5486,129svev,ApcMin,DSS,4,M,COL,PCOL,normal,consortium,NA,2022_06_01,PP,pm5486_CKDL220012245-1a-AK892-AK1874_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm5499,dm5499,5499,129svev,ApcMin,DSS,5,M,COL,DCOL,normal,consortium_um149,NA,2022_06_01,PP,dm5499_CKDL220012245-1a-GE09-AK1954_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
dt5499,dt5499,5499,129svev,ApcMin,DSS,5,M,COL,DCOL,tumor,consortium_um149,NA,2022_06_01,PP,dt5499_CKDL220012245-1a-AK850-AK2430_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm5499,pm5499,5499,129svev,ApcMin,DSS,5,M,COL,PCOL,normal,consortium_um149,NA,2022_06_01,PP,pm5499_CKDL220012245-1a-AK2044-AK1952_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm5642,dm5642,5642,129svev,ApcMin/IL10KO,None,7,M,COL,DCOL,normal,consortium,NA,2022_06_01,PP,dm5642_CKDL220012247-1a-AK1873-AK899_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm5642,pm5642,5642,129svev,ApcMin/IL10KO,None,7,M,COL,PCOL,normal,consortium,NA,2022_06_01,PP,pm5642_CKDL220012247-1a-7UDI245-AK706_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm5643,dm5643,5643,129svev,ApcMin/IL10KO,None,7,M,COL,DCOL,normal,consortium,NA,2022_06_01,PP,dm5643_CKDL220012247-1a-7UDI292-AK1334_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm5643,pm5643,5643,129svev,ApcMin/IL10KO,None,7,M,COL,PCOL,normal,consortium,NA,2022_06_01,PP,pm5643_CKDL220012247-1a-AK2329-7UDI254_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm5646,dm5646,5646,129svev,ApcMin/IL10KO,None,7,F,COL,DCOL,normal,consortium,NA,2022_06_01,PP,dm5646_CKDL220012247-1a-AK984-AK863_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm5646,pm5646,5646,129svev,ApcMin/IL10KO,None,7,F,COL,PCOL,normal,consortium,NA,2022_06_01,PP,pm5646_CKDL220012247-1a-AK1880-GB07_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm5650,dm5650,5650,129svev,ApcMin/IL10KO,None,7,M,COL,DCOL,normal,consortium,NA,2022_06_01,PP,dm5650_CKDL220012247-1a-AK1867-7UDI237_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm5650,pm5650,5650,129svev,ApcMin/IL10KO,None,7,M,COL,PCOL,normal,consortium,NA,2022_06_01,PP,pm5650_CKDL220012247-1a-GD05-GC10_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm5695,dm5695,5695,129svev,ApcMin/IL10KO,None,8,F,COL,DCOL,normal,gf,NA,2022_06_01,PP,dm5695_CKDL220012247-1a-7UDI298-AK843_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm5695,pm5695,5695,129svev,ApcMin/IL10KO,None,8,F,COL,PCOL,normal,gf,NA,2022_06_01,PP,pm5695_CKDL220012247-1a-AK2430-AK850_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm5696,dm5696,5696,129svev,ApcMin/IL10KO,None,8,F,COL,DCOL,normal,gf,NA,2022_06_01,PP,dm5696_CKDL220012247-1a-AK1952-AK2044_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm5696,pm5696,5696,129svev,ApcMin/IL10KO,None,8,F,COL,PCOL,normal,gf,NA,2022_06_01,PP,pm5696_CKDL220012247-1a-7UDI229-AK889_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm5698,dm5698,5698,129svev,ApcMin/IL10KO,None,8,F,COL,DCOL,normal,gf,NA,2022_06_01,PP,dm5698_CKDL220012247-1a-7UDI283-AK1853_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm5698,pm5698,5698,129svev,ApcMin/IL10KO,None,8,F,COL,PCOL,normal,gf,NA,2022_06_01,PP,pm5698_CKDL220012247-1a-GA03-AK1863_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm5699,dm5699,5699,129svev,ApcMin/IL10KO,None,8,M,COL,DCOL,normal,gf,NA,2022_06_01,PP,dm5699_CKDL220012247-1a-7UDI200-7UDI228_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm5699,pm5699,5699,129svev,ApcMin/IL10KO,None,8,M,COL,PCOL,normal,gf,NA,2022_06_01,PP,pm5699_CKDL220012247-1a-GF11-GH12_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm5700,dm5700,5700,129svev,ApcMin/IL10KO,None,8,M,COL,DCOL,normal,gf,NA,2022_06_01,PP,dm5700_CKDL220012247-1a-7UDI304-AK690_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm5700,pm5700,5700,129svev,ApcMin/IL10KO,None,8,M,COL,PCOL,normal,gf,NA,2022_06_01,PP,pm5700_CKDL220012247-1a-AK1878-AK844_HY7T3DSX3_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc5760,dc5760,5760,c57bl6,WT,None,12,F,COL,DCOL,normal,gf,NA,2022_06_01,PP,dc5760_CKDL220012246-1a-AK977-7UDI193_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
lv5760,lv5760,5760,c57bl6,WT,None,12,F,LIV,LIV,normal,gf,NA,2022_06_01,PP,lv5760_CKDL220012246-1a-AK898-AK1872_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc5760,pc5760,5760,c57bl6,WT,None,12,F,COL,PCOL,normal,gf,NA,2022_06_01,PP,pc5760_CKDL220012246-1a-AK892-AK1874_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp5760,sp5760,5760,c57bl6,WT,None,12,F,SPL,SPL,normal,gf,NA,2022_06_01,PP,sp5760_CKDL220012246-1a-7UDI193-AK977_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc5778,dc5778,5778,c57bl6,WT,None,10,F,COL,DCOL,normal,gf,NA,2022_06_01,PP,dc5778_CKDL220012246-1a-AK2161-AK1846_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
lv5778,lv5778,5778,c57bl6,WT,None,10,F,LIV,LIV,normal,gf,NA,2022_06_01,PP,lv5778_CKDL220012246-1a-AK2044-AK1952_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc5778,pc5778,5778,c57bl6,WT,None,10,F,COL,PCOL,normal,gf,NA,2022_06_01,PP,pc5778_CKDL220012246-1a-AK706-7UDI245_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp5778,sp5778,5778,c57bl6,WT,None,10,F,SPL,SPL,normal,gf,NA,2022_06_01,PP,sp5778_CKDL220012246-1a-AK1846-AK2161_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc5779,dc5779,5779,c57bl6,WT,None,10,F,COL,DCOL,normal,gf,NA,2022_06_01,PP,dc5779_CKDL220012246-1a-AK1852-AK1868_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
lv5779,lv5779,5779,c57bl6,WT,None,10,F,LIV,LIV,normal,gf,NA,2022_06_01,PP,lv5779_CKDL220012246-1a-AK1853-7UDI283_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc5779,pc5779,5779,c57bl6,WT,None,10,F,COL,PCOL,normal,gf,NA,2022_06_01,PP,pc5779_CKDL220012246-1a-AK985-AK987_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp5779,sp5779,5779,c57bl6,WT,None,10,F,SPL,SPL,normal,gf,NA,2022_06_01,PP,sp5779_CKDL220012246-1a-AK1868-AK1852_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc5788,dc5788,5788,c57bl6,WT,None,11,F,COL,DCOL,normal,gf,NA,2022_06_01,PP,dc5788_CKDL220012246-1a-AK1849-7UDI302_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
lv5788,lv5788,5788,c57bl6,WT,None,11,F,LIV,LIV,normal,gf,NA,2022_06_01,PP,lv5788_CKDL220012246-1a-AK843-7UDI298_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc5788,pc5788,5788,c57bl6,WT,None,11,F,COL,PCOL,normal,gf,NA,2022_06_01,PP,pc5788_CKDL220012246-1a-7UDI315-AK895_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp5788,sp5788,5788,c57bl6,WT,None,11,F,SPL,SPL,normal,gf,NA,2022_06_01,PP,sp5788_CKDL220012246-1a-7UDI302-AK1849_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc5797,dc5797,5797,c57bl6,WT,None,12,F,COL,DCOL,normal,gf,NA,2022_06_01,PP,dc5797_CKDL220012246-1a-AK2147-7UDI223_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
lv5797,lv5797,5797,c57bl6,WT,None,12,F,LIV,LIV,normal,gf,NA,2022_06_01,PP,lv5797_CKDL220012246-1a-AK844-AK1878_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc5797,pc5797,5797,c57bl6,WT,None,12,F,COL,PCOL,normal,gf,NA,2022_06_01,PP,pc5797_CKDL220012246-1a-GB07-AK1880_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp5797,sp5797,5797,c57bl6,WT,None,12,F,SPL,SPL,normal,gf,NA,2022_06_01,PP,sp5797_CKDL220012246-1a-7UDI223-AK2147_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc5982,dc5982,5982,c57bl6,WT,None,11,M,COL,DCOL,normal,gf,NA,2022_06_01,PP,dc5982_CKDL220012246-1a-GG03-7UDI222_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
lv5982,lv5982,5982,c57bl6,WT,None,11,M,LIV,LIV,normal,gf,NA,2022_06_01,PP,lv5982_CKDL220012246-1a-AK690-7UDI304_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc5982,pc5982,5982,c57bl6,WT,None,11,M,COL,PCOL,normal,gf,NA,2022_06_01,PP,pc5982_CKDL220012246-1a-AK863-AK984_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp5982,sp5982,5982,c57bl6,WT,None,11,M,SPL,SPL,normal,gf,NA,2022_06_01,PP,sp5982_CKDL220012246-1a-7UDI222-GG03_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc5988,dc5988,5988,c57bl6,WT,None,11,F,COL,DCOL,normal,gf,NA,2022_06_01,PP,dc5988_CKDL220012246-1a-GH07-AK903_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
lv5988,lv5988,5988,c57bl6,WT,None,11,F,LIV,LIV,normal,gf,NA,2022_06_01,PP,lv5988_CKDL220012246-1a-7UDI228-7UDI200_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc5988,pc5988,5988,c57bl6,WT,None,11,F,COL,PCOL,normal,gf,NA,2022_06_01,PP,pc5988_CKDL220012246-1a-7UDI237-AK1867_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp5988,sp5988,5988,c57bl6,WT,None,11,F,SPL,SPL,normal,gf,NA,2022_06_01,PP,sp5988_CKDL220012246-1a-AK903-GH07_HY7T3DSX3_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm6349,dm6349,6349,129svev,ApcMin,DSS,5,M,COL,DCOL,normal,consortium,NA,2022_06_01,PP,dm6349_CKDL220012245-1a-7UDI254-AK2329_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
dt6349,dt6349,6349,129svev,ApcMin,DSS,5,M,COL,DCOL,tumor,consortium,NA,2022_06_01,PP,dt6349_CKDL220012245-1a-GG04-AK705_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm6349,pm6349,6349,129svev,ApcMin,DSS,5,M,COL,PCOL,normal,consortium,NA,2022_06_01,PP,pm6349_CKDL220012245-1a-GC10-GD05_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm6360,dm6360,6360,129svev,ApcMin,DSS,4,F,COL,DCOL,normal,consortium_um149,NA,2022_06_01,PP,dm6360_CKDL220012245-1a-AK494-GH03_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
dt6360,dt6360,6360,129svev,ApcMin,DSS,4,F,COL,DCOL,tumor,consortium_um149,NA,2022_06_01,PP,dt6360_CKDL220012245-1a-AK2045-AK2431_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm6360,pm6360,6360,129svev,ApcMin,DSS,4,F,COL,PCOL,normal,consortium_um149,NA,2022_06_01,PP,pm6360_CKDL220012245-1a-AK843-7UDI298_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm6361,dm6361,6361,129svev,ApcMin,DSS,4,M,COL,DCOL,normal,consortium_um149,NA,2022_06_01,PP,dm6361_CKDL220012245-1a-AK897-AK1871_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
dt6361,dt6361,6361,129svev,ApcMin,DSS,4,M,COL,DCOL,tumor,consortium_um149,NA,2022_06_01,PP,dt6361_CKDL220012245-1a-AK1334-7UDI292_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm6361,pm6361,6361,129svev,ApcMin,DSS,4,M,COL,PCOL,normal,consortium_um149,NA,2022_06_01,PP,pm6361_CKDL220012245-1a-AK898-AK1872_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm6364,dm6364,6364,129svev,ApcMin,DSS,4,M,COL,DCOL,normal,consortium_um149,NA,2022_06_01,PP,dm6364_CKDL220012245-1a-AK987-AK985_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
dt6364,dt6364,6364,129svev,ApcMin,DSS,4,M,COL,DCOL,tumor,consortium_um149,NA,2022_06_01,PP,dt6364_CKDL220012245-1a-AK899-AK1873_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm6364,pm6364,6364,129svev,ApcMin,DSS,4,M,COL,PCOL,normal,consortium_um149,NA,2022_06_01,PP,pm6364_CKDL220012245-1a-AK844-AK1878_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm6365,dm6365,6365,129svev,ApcMin,DSS,4,M,COL,DCOL,normal,consortium_um149,NA,2022_06_01,PP,dm6365_CKDL220012245-1a-7UDI301-AK1847_HY7T3DSX3_L2_1_val_1_bismark_bt2_pe.bismark.cov.gz
